0.576	0.0158	-142.5,0.00264 -107.5,0.00264 12.5,0.00264 22.5,0.00264 82.5,0.00264 87.5,0.00264
0.663	0.0211	-152.5,0.00264 -142.5,0.00264 -107.5,0.00264 -102.5,0.00264 2.5,0.00264 12.5,0.00264 37.5,0.00264 62.5,0.00264
0.750	0.0264	-157.5,0.00264 -152.5,0.00264 -102.5,0.00264 -97.5,0.00264 -2.5,0.00264 2.5,0.00264 27.5,0.00264 37.5,0.00264 62.5,0.00264 67.5,0.00264
0.838	0.0211	-162.5,0.00264 -157.5,0.00264 -7.5,0.00264 -2.5,0.00264 22.5,0.00264 27.5,0.00264 87.5,0.00264 92.5,0.00264
0.925	0.0264	-167.5,0.00264 -162.5,0.00264 -97.5,0.00264 -92.5,0.00264 -67.5,0.00264 -37.5,0.00264 -12.5,0.00264 -7.5,0.00264 12.5,0.00264 22.5,0.00264
1.012	0.0343	-180,0.00264 -167.5,0.00264 -72.5,0.00264 -67.5,0.00264 -37.5,0.00264 -27.5,0.00264 -22.5,0.00264 -12.5,0.00264 7.5,0.00264 12.5,0.00264 62.5,0.00264 67.5,0.00264 67.5,0.00264
1.100	0.0317	-97.5,0.00264 -92.5,0.00264 -77.5,0.00264 -72.5,0.00264 -27.5,0.00264 -22.5,0.00264 2.5,0.00264 7.5,0.00264 57.5,0.00264 62.5,0.00264 167.5,0.00264 180,0.00264
1.187	0.0211	-102.5,0.00264 -97.5,0.00264 47.5,0.00264 57.5,0.00264 87.5,0.00264 92.5,0.00264 157.5,0.00264 167.5,0.00264
1.274	0.0264	-180,0.00264 -157.5,0.00264 -112.5,0.00264 -102.5,0.00264 -102.5,0.00264 47.5,0.00264 82.5,0.00264 87.5,0.00264 147.5,0.00264 157.5,0.00264
1.361	0.0264	-157.5,0.00264 -112.5,0.00264 -77.5,0.00264 -72.5,0.00264 2.5,0.00264 32.5,0.00264 77.5,0.00264 82.5,0.00264 162.5,0.00264 180,0.00264
1.449	0.0237	-72.5,0.00264 -67.5,0.00264 -37.5,0.00264 -27.5,0.00264 57.5,0.00264 57.5,0.00264 77.5,0.00264 147.5,0.00264 162.5,0.00264
1.536	0.0211	-67.5,0.00264 -57.5,0.00264 -47.5,0.00264 -37.5,0.00264 -27.5,0.00264 -22.5,0.00264 42.5,0.00264 57.5,0.00264
1.623	0.0158	-57.5,0.00264 -47.5,0.00264 -22.5,0.00264 -17.5,0.00264 22.5,0.00264 42.5,0.00264
1.710	0.0053	-17.5,0.00264 22.5,0.00264
1.798	0.0000	
1.885	0.0000	
1.972	0.0000	
2.059	0.0000	
2.147	0.0000	
2.234	0.0000	
2.321	0.0000	
2.409	0.0000	
2.496	0.0000	
2.583	0.0000	
2.670	0.0000	
2.758	0.0000	
2.845	0.0106	-180,0.00264 -177.5,0.00264 147.5,0.00264 180,0.00264
2.932	0.0106	-177.5,0.00264 -167.5,0.00264 132.5,0.00264 147.5,0.00264
3.019	0.0106	-167.5,0.00264 -157.5,0.00264 117.5,0.00264 132.5,0.00264
3.107	0.0106	-157.5,0.00264 -147.5,0.00264 77.5,0.00264 117.5,0.00264
3.142	0.0053	-147.5,0.00264 77.5,0.00264
